"";"country";"year";"party";"party_name_short";"party_eng";"vote_share";"seats";"rightwing";"radicalright";"leftwing";"valence"
"33";"Bulgaria";2019;"Grazhdani za Evropeysko Razvitie na Balgariya";"GERB";"Citizens for European Development of Bulgaria";31,1;6;0;0;0;1
"34";"Bulgaria";2014;"Natsionalen Front za Spasenie na Balgariya";"NFSB";"National Front for the Salvation of Bulgaria";3,1;0;1;1;0;0
"35";"Bulgaria";2019;"Natsionalen Front za Spasenie na Balgariya";"NFSB";"National Front for the Salvation of Bulgaria";1,2;0;1;1;0;0
"36";"Bulgaria";2009;"Natsionalno Dvizhenie Simeon Vtori / Nacionalno dviženie za stabilnost i văzhod";"NDSV";"National Movement Simeon II / National Movement for Stability and Progress";8;2;0;0;0;1
"37";"Bulgaria";2019;"Natsionalno Dvizhenie Simeon Vtori / Nacionalno dviženie za stabilnost i văzhod + Novoto Vreme";"NDSV + NV";"National Movement Simeon II / National Movement for Stability and Progress + NV";1,1;0;0;0;0;1
"38";"Bulgaria";2014;"Natsionalno Dvizhenie Simeon Vtori / Nacionalno dviženie za stabilnost i văzhod + others (KOD coalition)";"NDSV + others";"National Movement Simeon II / National Movement for Stability and Progress + (coalition Coalition United Democrats, KOD)";0,9;0;0;0;0;1
"39";"Bulgaria";2009;"Red, zakonnost i spravedlivost";"RZS";"Order, Lawfulness and Justice";4,7;0;1;1;0;0
"40";"Bulgaria";2019;"VMRO – Bulgarsko Natsionalno Dvizhenie";"IMRO";"IMRO – Bulgarian National Movement";7,4;2;1;1;0;0
"41";"Bulgaria";2019;"Volya";"Volya";"Volya";3,6;0;1;1;0;0
"42";"Croatia";2014;"Hrvatski laburisti – Stranka rada";"HL-SR";"Croatian Labourists -- Labour Party";3,4;0;0;0;1;0
"43";"Croatia";2019;"Most nezavisnih lista";"Most";"Bridge of Independent Lists";4,7;0;0;0;0;1
"44";"Croatia";2014;"Savez za promjene/ Živi zid";"ZiZi";"Alliance for Change/ Human Shield";0,5;0;0;0;0;1
"45";"Croatia";2019;"Savez za promjene/ Živi zid";"ZiZi";"Alliance for Change/ Human Shield";5,7;1;0;0;0;1
"46";"Cyprus";2014;"Symmaxia";"SYM";"Citizens' Alliance";6,8;0;0;0;1;0
"47";"Czech Republic";2014;"ANO 2011";"ANO 2011";"ANO 2011";16,1;4;0;0;0;1
"48";"Czech Republic";2019;"ANO 2011";"ANO 2011";"ANO 2011";21,2;6;0;0;0;1
"49";"Czech Republic";2004;"Strana zdravého rozumu";"SZR";"Party of Common Sense";0,3;0;1;0;0;0
"50";"Czech Republic";2014;"Strana zdravého rozumu";"SZR";"Party of Common Sense";1,6;0;1;0;0;0
"51";"Czech Republic";2019;"Strana zdravého rozumu";"SZR";"Party of Common Sense";0,8;0;1;0;0;0
"52";"Czech Republic";2009;"Suverenita – blok Jany Bobošíkové / Česká suverenita";"S-JB/CS";"Sovereignty - Jana Bobosikova Bloc / Czech Sovereignty";4,3;0;1;0;0;0
"53";"Czech Republic";2014;"Suverenita – blok Jany Bobošíkové / Česká suverenita";"S-JB/CS";"Sovereignty - Jana Bobosikova Bloc / Czech Sovereignty";0,1;0;1;0;0;0
"54";"Czech Republic";2019;"Suverenita – blok Jany Bobošíkové / Česká suverenita";"S-JB/CS";"Sovereignty - Jana Bobosikova Bloc / Czech Sovereignty";0,1;0;1;0;0;0
"55";"Czech Republic";2019;"Svoboda a přímá demokracie Tomio Okamura";"SPD";"Freedom and Direct Democracy Tomio Okamura";9,1;2;1;1;0;0
"56";"Czech Republic";2014;"Úsvit – Národní koalice / Úsvit Přímé Demokracie";"UPD";"Dawn of Direct Democracy / Dawn – National Coalition";3,1;0;1;1;0;0
"57";"Czech Republic";2009;"Věci veřejné";"VV";"Public Affairs";2,4;0;0;0;0;1
"58";"Denmark";1999;"Dansk Folkeparti";"DF";"Danish People's Party";5,8;1;1;1;0;0
"59";"Denmark";2004;"Dansk Folkeparti";"DF";"Danish People's Party";6,8;1;1;1;0;0
"60";"Denmark";2009;"Dansk Folkeparti";"DF";"Danish People's Party";15,3;2;1;1;0;0
"61";"Denmark";2014;"Dansk Folkeparti";"DF";"Danish People's Party";26,6;4;1;1;0;0
"62";"Denmark";2019;"Dansk Folkeparti";"DF";"Danish People's Party";10,8;1;1;1;0;0
"63";"Denmark";1979;"Fremskridtspartiet";"FrP";"Progress Party";5,8;1;1;0;0;0
"64";"Denmark";1984;"Fremskridtspartiet";"FrP";"Progress Party";3,5;0;1;0;0;0
"65";"Denmark";1989;"Fremskridtspartiet";"FrP";"Progress Party";5,3;0;1;0;0;0
"66";"Denmark";1994;"Fremskridtspartiet";"FrP";"Progress Party";2,9;0;1;0;0;0
"67";"Denmark";1999;"Fremskridtspartiet";"FrP";"Progress Party";0,7;0;1;0;0;0
"68";"Estonia";2014;"Eesti Iseseisvuspartei";"EIP";"Estonian Independence Party";1,3;0;1;1;0;0
"69";"Estonia";2014;"Eesti Konservatiivne Rahvaerakond";"EKRE";"Conservative People's Party of Estonia";4;0;1;1;0;0
"70";"Estonia";2019;"Eesti Konservatiivne Rahvaerakond";"EKRE";"Conservative People's Party of Estonia";12,7;1;1;1;0;0
"71";"Finland";1999;"Perussuomalaiset";"PS";"True Finns / Finns Party";0,8;0;1;1;0;0
"72";"Finland";2004;"Perussuomalaiset";"PS";"True Finns / Finns Party";0,5;0;1;1;0;0
"73";"Finland";2009;"Perussuomalaiset";"PS";"True Finns / Finns Party";9,8;1;1;1;0;0
"74";"Finland";2014;"Perussuomalaiset";"PS";"True Finns / Finns Party";12,9;2;1;1;0;0
"75";"Finland";2019;"Perussuomalaiset";"PS";"True Finns / Finns Party";13,8;2;1;1;0;0
"76";"France";2009;"Debout la république / Debout la France";"DLR/DLF";"Republic Arise / France Arise";1,8;0;1;0;0;0
"77";"France";2014;"Debout la république / Debout la France";"DLR/DLF";"Republic Arise / France Arise";3,8;0;1;0;0;0
"78";"France";2019;"Debout la république / Debout la France";"DLR/DLF";"Republic Arise / France Arise";3,5;0;1;0;0;0
"79";"France";1984;"Front National / Rassemblement National";"FN/RN";"National Front / National Rally";11;10;1;1;0;0
"80";"France";1989;"Front National / Rassemblement National";"FN/RN";"National Front / National Rally";11,7;10;1;1;0;0
"81";"France";1994;"Front National / Rassemblement National";"FN/RN";"National Front / National Rally";10,5;11;1;1;0;0
"82";"France";1999;"Front National / Rassemblement National";"FN/RN";"National Front / National Rally";5,7;5;1;1;0;0
"83";"France";2004;"Front National / Rassemblement National";"FN/RN";"National Front / National Rally";9,8;7;1;1;0;0
"84";"France";2009;"Front National / Rassemblement National";"FN/RN";"National Front / National Rally";6,3;3;1;1;0;0
"85";"France";2014;"Front National / Rassemblement National";"FN/RN";"National Front / National Rally";24,9;24;1;1;0;0
"86";"France";2019;"Front National / Rassemblement National";"FN/RN";"National Front / National Rally";23,3;22;1;1;0;0
"87";"France";2019;"La France Insoumise";"LFI";"Unbowed France";6,3;6;0;0;1;0
"88";"France";1999;"Mouvement National Républicain";"MNR";"National Republican Movement";3,3;0;1;1;0;0
"89";"France";2004;"Mouvement National Républicain";"MNR";"National Republican Movement";0,3;0;1;1;0;0
"90";"Germany";2019;"Alternative für Deutschland";"AfD";"Alternative for Germany";11;11;1;1;0;0
"91";"Germany";1989;"Deutsche Volksunion – Liste D";"DVU";"German People's Union – List D";1,6;0;1;1;0;0
"92";"Germany";2009;"Deutsche Volksunion – Liste D";"DVU";"German People's Union – List D";0,4;0;1;1;0;0
"93";"Germany";1989;"Die Republikaner";"REP";"The Republicans";7,1;6;1;1;0;0
"94";"Germany";1994;"Die Republikaner";"REP";"The Republicans";3,9;0;1;1;0;0
"95";"Germany";1999;"Die Republikaner";"REP";"The Republicans";1,7;0;1;1;0;0
"96";"Germany";2004;"Die Republikaner";"REP";"The Republicans";1,9;0;1;1;0;0
"97";"Germany";2009;"Die Republikaner";"REP";"The Republicans";1,3;0;1;1;0;0
"98";"Germany";2014;"Die Republikaner";"REP";"The Republicans";0,4;0;1;1;0;0
"99";"Germany";1994;"Partei des Demokratischen Sozialismus / Die Linke";"PDS/LINKE";"PDS / The Left";4,7;0;0;0;1;0
"100";"Germany";1999;"Partei des Demokratischen Sozialismus / Die Linke";"PDS/LINKE";"PDS / The Left";5,8;6;0;0;1;0
"101";"Germany";2004;"Partei des Demokratischen Sozialismus / Die Linke";"PDS/LINKE";"PDS / The Left";6,1;7;0;0;1;0
"102";"Germany";2009;"Partei des Demokratischen Sozialismus / Die Linke";"PDS/LINKE";"PDS / The Left";7,5;8;0;0;1;0
"103";"Germany";2014;"Partei des Demokratischen Sozialismus / Die Linke";"PDS/LINKE";"PDS / The Left";7,4;7;0;0;1;0
"104";"Germany";2019;"Partei des Demokratischen Sozialismus / Die Linke";"PDS/LINKE";"PDS / The Left";5,5;5;0;0;1;0
"105";"Great Britain";2019;"Brexit Party";"BP";"Brexit Party";31,6;29;1;0;0;0
"106";"Great Britain";1999;"British National Party";"BNP";"British National Party";1;0;1;1;0;0
"107";"Great Britain";2004;"British National Party";"BNP";"British National Party";4,9;0;1;1;0;0
"108";"Great Britain";2009;"British National Party";"BNP";"British National Party";6,2;2;1;1;0;0
"109";"Great Britain";2014;"British National Party";"BNP";"British National Party";1,1;0;1;1;0;0
"110";"Great Britain";2004;"Respect – The Unity Coalition";"RES";"Respect – The Unity Coalition";1,5;0;0;0;1;0
"111";"Great Britain";1994;"United Kingdom Independence Party";"UKIP";"United Kingdom Independence Party";1;0;1;0;0;0
"112";"Great Britain";1999;"United Kingdom Independence Party";"UKIP";"United Kingdom Independence Party";7;3;1;0;0;0
"113";"Great Britain";2004;"United Kingdom Independence Party";"UKIP";"United Kingdom Independence Party";16,2;12;1;0;0;0
"114";"Great Britain";2009;"United Kingdom Independence Party";"UKIP";"United Kingdom Independence Party";16,5;13;1;0;0;0
"115";"Great Britain";2014;"United Kingdom Independence Party";"UKIP";"United Kingdom Independence Party";27,5;24;1;0;0;0
"116";"Great Britain";2019;"United Kingdom Independence Party";"UKIP";"United Kingdom Independence Party";3,3;0;1;1;0;0
"117";"Greece";2014;"Anexartitoi Ellines";"ANEL";"Independent Greeks";3,5;1;1;1;0;0
"118";"Greece";2019;"Anexartitoi Ellines";"ANEL";"Independent Greeks";0,8;0;1;1;0;0
"119";"Greece";1999;"Dimokratiko Koinoniko Kinima";"DIKKI";"Democratic Social Movement";6,9;2;0;0;1;0
"120";"Greece";2019;"Elliniki Lisi";"EL";"Greek Solution";4,2;1;1;1;0;0
"121";"Greece";2004;"Laïkós Orthódoxos Synagermós";"LAOS";"Popular Orthodox Rally";4,1;1;1;1;0;0
"122";"Greece";2009;"Laïkós Orthódoxos Synagermós";"LAOS";"Popular Orthodox Rally";7,2;2;1;1;0;0
"123";"Greece";2014;"Laïkós Orthódoxos Synagermós";"LAOS";"Popular Orthodox Rally";2,7;0;1;1;0;0
"124";"Greece";2019;"Laïkós Orthódoxos Synagermós + PATRIE";"LAOS + PATRIE";"Popular Orthodox Rally + Patriotic Radical Union";1,2;0;1;1;0;0
"125";"Greece";2019;"Métopo Evropaikís Realistikís Anypakoís";"MeRA25";"European Realistic Disobedience Front";3;0;0;0;1;0
"126";"Greece";1984;"Panellinio Sosialistikó Kínima";"PASOK";"Panhellenic Socialist Movement";41,6;10;0;0;1;0
"127";"Greece";1989;"Panellinio Sosialistikó Kínima";"PASOK";"Panhellenic Socialist Movement";36;9;0;0;1;0
"128";"Greece";1994;"Panellinio Sosialistikó Kínima";"PASOK";"Panhellenic Socialist Movement";37,6;10;0;0;1;0
"129";"Greece";2019;"Plefsi Eleftherias";"PE";"Course of Freedom";1,6;0;0;0;1;0
"130";"Greece";2009;"Synaspismós Rizospastikís Aristerás/SYRIZA";"SYN/SYRIZA";"Coalition of the Radical Left/SYRIZA";4,7;1;0;0;1;0
"131";"Greece";2014;"Synaspismós Rizospastikís Aristerás/SYRIZA";"SYN/SYRIZA";"Coalition of the Radical Left/SYRIZA";26,6;6;0;0;1;0
"132";"Greece";2019;"Synaspismós Rizospastikís Aristerás/SYRIZA";"SYN/SYRIZA";"Coalition of the Radical Left/SYRIZA";23,8;6;0;0;1;0
"133";"Hungary";2004;"Fidesz - Magyar Polgári Szövetség";"Fidesz";"Fidesz - Hungarian Civic Union";47,4;12;1;0;0;0
"134";"Hungary";2009;"Fidesz - Magyar Polgári Szövetség / Kereszténydemokrata Néppárt";"Fidesz+KDNP";"Fidesz - Hungarian Civic Party / Christian Democratic People's Party";56,4;14;1;0;0;0
"135";"Hungary";2014;"Fidesz - Magyar Polgári Szövetség / Kereszténydemokrata Néppárt";"Fidesz+KDNP";"Fidesz - Hungarian Civic Party / Christian Democratic People's Party";51,5;12;1;0;0;0
"136";"Hungary";2019;"Fidesz - Magyar Polgári Szövetség / Kereszténydemokrata Néppárt";"Fidesz+KDNP";"Fidesz - Hungarian Civic Party / Christian Democratic People's Party";52,6;13;1;1;0;0
"137";"Hungary";2009;"Jobbik Magyarországért Mozgalom";"Jobbik";"Jobbik Movement for a Better Hungary";14,8;3;1;1;0;0
"138";"Hungary";2014;"Jobbik Magyarországért Mozgalom";"Jobbik";"Jobbik Movement for a Better Hungary";14,7;3;1;1;0;0
"139";"Hungary";2019;"Jobbik Magyarországért Mozgalom";"Jobbik";"Jobbik Movement for a Better Hungary";6,3;1;1;1;0;0
"140";"Hungary";2004;"Magyar Igazság és Élet Pártja";"MIÉP";"Hungarian Justice and Life Party";2,4;0;1;1;0;0
"141";"Hungary";2019;"Mi Hazánk Mozgalom";"MH";"Our Homeland Movement";3,3;0;1;1;0;0
"142";"Ireland";1984;"Sinn Féin";"SF";"Sinn Fein";4,9;0;0;0;1;0
"143";"Ireland";1989;"Sinn Féin";"SF";"Sinn Fein";2,2;0;0;0;1;0
"144";"Ireland";1994;"Sinn Féin";"SF";"Sinn Fein";3;0;0;0;1;0
"145";"Ireland";1999;"Sinn Féin";"SF";"Sinn Fein";6,3;0;0;0;1;0
"146";"Ireland";2004;"Sinn Féin";"SF";"Sinn Fein";11,1;1;0;0;1;0
"147";"Ireland";2009;"Sinn Féin";"SF";"Sinn Fein";11,2;0;0;0;1;0
"148";"Ireland";2014;"Sinn Féin";"SF";"Sinn Fein";19,5;3;0;0;1;0
"149";"Ireland";2019;"Sinn Féin";"SF";"Sinn Fein";11,7;1;0;0;1;0
"150";"Italy";1994;"Forza Italia / Il Popolo della Libertà";"FI / PdL";"Forza Italia – The People of Freedom";30,6;27;1;0;0;0
"151";"Italy";1999;"Forza Italia / Il Popolo della Libertà";"FI / PdL";"Forza Italia – The People of Freedom";25,2;22;1;0;0;0
"152";"Italy";2004;"Forza Italia / Il Popolo della Libertà";"FI / PdL";"Forza Italia – The People of Freedom";20,9;16;1;0;0;0
"153";"Italy";2009;"Forza Italia / Il Popolo della Libertà";"FI / PdL";"Forza Italia – The People of Freedom";35,3;29;1;0;0;0
"154";"Italy";2014;"Forza Italia / Il Popolo della Libertà";"FI / PdL";"Forza Italia – The People of Freedom";16,8;13;1;0;0;0
"155";"Italy";2019;"Forza Italia / Il Popolo della Libertà";"FI / PdL";"Forza Italia – The People of Freedom";8,8;7;1;0;0;0
"156";"Italy";2014;"Fratelli d'Italia";"FdI";"Brothers of Italy";3,7;0;1;1;0;0
"157";"Italy";2019;"Fratelli d'Italia";"FdI";"Brothers of Italy";6,4;6;1;1;0;0
"158";"Italy";1989;"Lega Lombarda / Lega Nord / Lega Salvini Premier";"LL/LN/Lega";"Lombard League – Northern League – Lega Salvini Premier";1,8;2;1;0;0;0
"159";"Italy";1994;"Lega Lombarda / Lega Nord / Lega Salvini Premier";"LL/LN/Lega";"Lombard League – Northern League – Lega Salvini Premier";6,6;6;1;0;0;0
"160";"Italy";1999;"Lega Lombarda / Lega Nord / Lega Salvini Premier";"LL/LN/Lega";"Lombard League – Northern League – Lega Salvini Premier";4,5;4;1;0;0;0
"161";"Italy";2004;"Lega Lombarda / Lega Nord / Lega Salvini Premier";"LL/LN/Lega";"Lombard League – Northern League – Lega Salvini Premier";5;4;1;0;0;0
"162";"Italy";2009;"Lega Lombarda / Lega Nord / Lega Salvini Premier";"LL/LN/Lega";"Lombard League – Northern League – Lega Salvini Premier";10,2;9;1;0;0;0
"163";"Italy";2014;"Lega Lombarda / Lega Nord / Lega Salvini Premier";"LL/LN/Lega";"Lombard League – Northern League – Lega Salvini Premier";6,2;5;1;0;0;0
"164";"Italy";2019;"Lega Lombarda / Lega Nord / Lega Salvini Premier";"LL/LN/Lega";"Lombard League – Northern League – Lega Salvini Premier";34,3;29;1;1;0;0
"165";"Italy";2014;"Movimento 5 Stelle";"M5S";"Five Star Movement";21,2;17;0;0;0;1
"166";"Italy";2019;"Movimento 5 Stelle";"M5S";"Five Star Movement";17,1;14;0;0;0;1
"167";"Lithuania";2004;"Darbo Partija";"DP";"Labour Party";30,2;5;0;0;0;1
"168";"Lithuania";2019;"Lietuvos Centro Partija";"LCP";"Lithuanian Centre Party";5,1;0;0;0;0;1
"169";"Lithuania";2009;"Tautos Prisikėlimo partija";"TPP";"National Resurrection Party";1;0;0;0;0;1
"170";"Lithuania";2004;"Tvarka ir teisingumas / Liberalų Demokratų Partija";"TT";"Order and Justice - Liberal Democratic Party";6,8;1;1;0;0;0
"171";"Lithuania";2009;"Tvarka ir teisingumas / Liberalų Demokratų Partija";"TT";"Order and Justice - Liberal Democratic Party";12,2;2;1;0;0;0
"172";"Lithuania";2014;"Tvarka ir teisingumas / Liberalų Demokratų Partija";"TT";"Order and Justice - Liberal Democratic Party";14,3;2;1;0;0;0
"173";"Lithuania";2019;"Tvarka ir teisingumas / Liberalų Demokratų Partija";"TT";"Order and Justice - Liberal Democratic Party";2,7;0;1;0;0;0
"174";"Luxembourg";1994;"Aktiounskomitee fir Demokratie an Rentengerechtigkeet / Alternativ Demokratesch Reformpartei";"ADR";"Action Committee for Democracy and Pensions Justice' / Alternative Democratic Reform Party";6,9;0;1;0;0;0
"175";"Luxembourg";1999;"Aktiounskomitee fir Demokratie an Rentengerechtigkeet / Alternativ Demokratesch Reformpartei";"ADR";"Action Committee for Democracy and Pensions Justice' / Alternative Democratic Reform Party";9;0;1;0;0;0
"176";"Luxembourg";2004;"Aktiounskomitee fir Demokratie an Rentengerechtigkeet / Alternativ Demokratesch Reformpartei";"ADR";"Action Committee for Democracy and Pensions Justice' / Alternative Democratic Reform Party";8;0;1;0;0;0
"177";"Luxembourg";2009;"Aktiounskomitee fir Demokratie an Rentengerechtigkeet / Alternativ Demokratesch Reformpartei";"ADR";"Action Committee for Democracy and Pensions Justice' / Alternative Democratic Reform Party";7,4;0;1;0;0;0
"178";"Luxembourg";2014;"Aktiounskomitee fir Demokratie an Rentengerechtigkeet / Alternativ Demokratesch Reformpartei";"ADR";"Action Committee for Democracy and Pensions Justice' / Alternative Democratic Reform Party";7,5;0;1;0;0;0
"179";"Luxembourg";2019;"Aktiounskomitee fir Demokratie an Rentengerechtigkeet / Alternativ Demokratesch Reformpartei";"ADR";"Action Committee for Democracy and Pensions Justice' / Alternative Democratic Reform Party";10;0;1;0;0;0
"180";"Luxembourg";1989;"National Bewegong";"NB";"National Movement";2,9;0;1;1;0;0
"181";"Luxembourg";1994;"National Bewegong";"NB";"National Movement";2,4;0;1;1;0;0
"182";"Netherlands";1989;"Centrum Democraten";"CD";"Centre Democrats";0,8;0;1;1;0;0
"183";"Netherlands";1994;"Centrum Democraten";"CD";"Centre Democrats";1;0;1;1;0;0
"184";"Netherlands";1984;"Centrumpartij";"CP";"Centre Party";2,5;0;1;1;0;0
"185";"Netherlands";2019;"Forum voor Democratie";"FvD";"Forum for Democracy";11;3;1;1;0;0
"186";"Netherlands";2004;"Lijst Pim Fortuyn";"LPF";"Fortuyn List";2,6;0;1;0;0;0
"187";"Netherlands";1999;"Lijstverbinding Centrumdemocraten + Conservatieve Democraten";"CD";"Centre Democrats + Conservative Democrats";0,5;0;1;1;0;0
"188";"Netherlands";2009;"Partij voor de Vrijheid";"PVV";"Party for Freedom";17;4;1;1;0;0
"189";"Netherlands";2014;"Partij voor de Vrijheid";"PVV";"Party for Freedom";13,3;4;1;1;0;0
"190";"Netherlands";2019;"Partij voor de Vrijheid";"PVV";"Party for Freedom";3,5;0;1;1;0;0
"191";"Netherlands";1989;"Socialistiese Partij";"SP";"Socialist Party";0,7;0;0;0;1;0
"192";"Netherlands";1994;"Socialistiese Partij";"SP";"Socialist Party";1,3;0;0;0;1;0
"193";"Netherlands";1999;"Socialistiese Partij";"SP";"Socialist Party";5;1;0;0;1;0
"194";"Poland";2019;"Kukiz'15";"Kukiz'15";"Kukiz'15";3,7;0;1;1;0;0
"195";"Poland";2004;"Liga Polskich Rodzin";"LPR";"League of Polish Families";15,9;10;1;1;0;0
"196";"Poland";2009;"Prawo i Sprawiedliwość";"PiS";"Law and Justice";27,4;15;1;0;0;0
"197";"Poland";2014;"Prawo i Sprawiedliwość";"PiS";"Law and Justice";31,8;19;1;0;0;0
"198";"Poland";2019;"Prawo i Sprawiedliwość";"PiS";"Law and Justice";45,4;26;1;1;0;0
"199";"Poland";2004;"Samoobrona Rzeczypospolitej Polskiej";"SRP";"Self-Defense of the Republic Poland";10,8;6;0;0;1;0
"200";"Poland";2009;"Samoobrona Rzeczypospolitej Polskiej";"SRP";"Self-Defense of the Republic Poland";1,5;0;0;0;1;0
"201";"Portugal";2019;"Coligação Basta – Chega (Chega + Partido Popular Monárquico, PPM + Cidadania e Democracia Cristã, PPV/CDC)";"C-Basta!";"Coalition Enough (Enough + People's Monarchist Party + Citizenship and Christian Democracy party";1,5;0;1;1;0;0
"202";"Romania";2014;"Partidul Poporului – Dan Diaconescu";"PP-DD";"People's Party - Dan Diaconescu";3,7;0;0;0;0;1
"203";"Romania";2009;"Partidul România Mare";"PRM";"Greater Romania Party";8,7;3;1;1;0;0
"204";"Romania";2014;"Partidul România Mare";"PRM";"Greater Romania Party";2,7;0;1;1;0;0
"205";"Slovakia";2004;"Aliancia nového občana";"ANO";"Alliance of the New Citizen";4,7;0;0;0;0;1
"206";"Slovakia";2014;"Obyčajní ľudia a nezávislé osobnosti";"OL'aNO";"Ordinary People and Independent";7,5;1;0;0;0;1
"207";"Slovakia";2019;"Obyčajní ľudia a nezávislé osobnosti";"OL'aNO";"Ordinary People and Independent";5,3;1;0;0;0;1
"208";"Slovakia";2009;"Slovenská národná strana";"SNS";"Slovak National Party";5,6;1;1;1;0;0
"209";"Slovakia";2014;"Slovenská národná strana";"SNS";"Slovak National Party";3,6;0;1;1;0;0
"210";"Slovakia";2019;"Slovenská národná strana";"SNS";"Slovak National Party";4,1;0;1;1;0;0
"211";"Slovakia";2004;"Slovenská národná strana + Pravá Slovenská národná strana";"SNS + PSNS";"Slovak National Party + Real Slovak National Party";2;0;1;1;0;0
"212";"Slovakia";2019;"Sme Rodina – Boris Kollár";"SR";"We are family - Boris Kollár";3,2;0;1;1;0;0
"213";"Slovakia";2004;"Smer – Sociálna Demokracia";"Smer – SD";"Direction - Social Democracy";16,9;3;0;0;1;0
"214";"Slovenia";2019;"Lista Marjana Šarca";"LMŠ";"List of Marjan Šarec";15,4;2;0;0;0;1
"215";"Slovenia";2004;"Slovenska Demokratska Stranka";"SDS";"Slovenian Democratic Party";17,7;2;1;0;0;0
"216";"Slovenia";2009;"Slovenska Demokratska Stranka";"SDS";"Slovenian Democratic Party";26,7;2;1;0;0;0
"217";"Slovenia";2014;"Slovenska Demokratska Stranka";"SDS";"Slovenian Democratic Party";24,8;3;1;0;0;0
"218";"Slovenia";2019;"Slovenska Demokratska Stranka + Slovenska ljudska stranka";"SDS + SLS";"Slovenian Democratic Party + Slovenian People's Party";26,3;3;1;0;0;0
"219";"Slovenia";2004;"Slovenska Nacionalna Stranka";"SNS";"Slovenian National Party";5;0;1;1;0;0
